File extension,open / proprietary format,binary / plain text / both
3dm,open,binary
3dxml,Unknown,plain
3KO,Unknown,Unknown
asab,Unknown,Unknown
asat,Unknown,plain
asm,proprietary,plain
CATPart,proprietary,binary
CATProduct,proprietary,binary
CGR,Unknown,binary
dae,open,plain
dwg,open,binary
dxf,Unknown,both
html,open,plain
iam,Unknown,binary
iges,Unknown,plain
igs,Unknown,plain
ipt,Unknown,binary
iwb,Unknown,plain
iwp,Unknown,Unknown
model,proprietary,Unknown
obj,open,plain
par,Unknown,plain
pdf,open,binary
ply,Unknown,Unknown
pod,Unknown,Unknown
prc,open,binary
prt,Unknown,binary
psm,Unknown,Unknown
sab,Unknown,binary
sat,Unknown,plain
sldasm,proprietary,binary
sldprt,proprietary,binary
sms,Unknown,binary
step,open,plain
stl,open,both
stp,open,plain
svg,open,plain
u3d,Unknown,binary
vda,Unknown,Binary
wrl,Unknown,plain
x_t,Unknown,plain
xcgm,Unknown,Unknown
